C1029|2599|1271
C1030|1271|2599
C1031|1132|1934
C1032|1934|1132
C1034|1934|1132
C1037|1132|1934
C1041|2599|1132
C1042|1934|2599
C1043|2599|1934
C1044|1934|2599
C1201|2600|595
C1202|595|2599
C1203|2600|595
C1204|595|2599
C1205|2599|595
C1206|595|2599
C1207|2599|595
C1208|595|2599
C1209|2599|595
C1210|595|2599
C1211|2599|595
C1212|595|2599
C1213|2599|595
C1214|595|2599
C1215|2599|595
C1216|595|2599
C1217|2599|595
C1218|595|2599
C1219|2599|595
C1220|595|2599
C1221|2599|595
C1222|595|2599
C1223|2599|595
C1224|595|2599
C1225|2599|595
C1226|595|2599
C1227|2599|595
C1228|595|2599
C1229|2599|595
C1230|595|2599
C1231|2599|595
C1232|595|2599
C1233|2599|595
C1234|595|2599
C1235|2599|595
C1236|595|2599
C1238|595|2599
C1241|2600|595
C1242|595|2599
C1243|2599|595
C1244|595|2599
C1245|2599|595
C1246|595|2599
C1247|2599|595
C1248|595|2599
C2001|446|790
C2002|790|446
C2003|446|790
C2004|790|446
C2005|446|790
C2006|790|446
C2007|446|790
C2008|790|446
C2009|446|790
C2010|790|446
C2011|446|790
C2012|790|446
C2013|446|790
C2014|790|446
C2015|446|790
C2016|790|446
C2017|446|790
C2018|790|446
C2019|446|790
C2020|790|446
C2021|446|790
C2022|790|446
C2023|446|790
C2024|790|446
C2025|446|790
C2026|790|446
C2027|446|790
C2028|790|446
C2029|446|790
C2030|790|446
C2031|446|790
C2032|790|446
C2033|446|790
C2034|790|446
C2035|446|790
C2036|790|446
C2037|446|790
C2038|790|446
C2039|446|790
C2040|790|446
C2041|446|790
C2042|790|446
C2043|446|790
C2044|790|446
C2045|446|790
C2046|790|446
C2047|446|790
C2048|790|446
C2049|446|790
C2050|790|446
C2051|446|790
C2052|790|446
C2053|446|790
C2054|790|446
C2055|446|790
C2056|790|446
C2057|446|790
C2058|790|446
C2059|446|790
C2060|790|446
C2061|446|790
C2062|790|446
C2063|446|790
C2064|790|446
C2065|446|790
C2066|790|446
C2067|446|790
C2068|790|446
C2069|446|790
C2070|790|446
C2071|446|790
C2072|790|446
C2073|446|790
C2074|790|446
C2075|446|790
C2076|790|446
C2077|446|790
C2078|790|446
C2079|446|790
C2080|790|446
C2081|446|790
C2082|790|446
C2083|446|790
C2084|790|446
C2085|446|790
C2086|790|446
C2087|446|790
C2088|790|446
C2089|446|790
C2090|790|446
C2091|446|790
C2092|790|446
C2093|446|790
C2094|790|446
C2095|446|790
C2096|790|446
C2097|446|790
C2098|790|446
C2099|446|790
C2100|790|446
C2101|446|790
C2102|790|446
C2103|446|790
C2104|790|446
C2105|446|790
C2106|790|446
C2107|446|790
C2108|790|446
C2201|446|790
C2202|790|446
C2203|446|790
C2204|790|446
C2205|446|790
C2206|790|446
C2207|446|790
C2208|790|446
C2209|446|790
C2210|790|446
C2211|446|790
C2212|790|446
C2213|446|790
C2214|790|446
C2215|446|790
C2216|790|446
C2217|446|790
C2218|790|446
C2219|446|790
C2220|790|446
C2221|446|790
C2222|790|446
C2223|446|790
C2224|790|446
C2225|446|790
C2226|790|446
C2227|446|790
C2228|790|446
C2229|446|790
C2230|790|446
C2231|446|790
C2232|790|446
C2233|446|790
C2234|790|446
C2235|446|790
C2236|790|446
C2237|446|790
C2238|790|446
C2239|446|790
C2240|790|446
C2241|446|790
C2242|790|446
C2243|446|790
C2244|790|446
C2245|446|790
C2246|790|446
C2301|790|220
C2302|220|790
C2303|790|220
C2304|220|790
C2305|790|220
C2306|220|790
C2307|790|220
C2308|220|790
C2309|790|220
C2581|446|220
C2582|220|446
C2583|446|220
C2584|220|446
C2585|446|220
C2586|220|446
C2587|446|220
C2588|220|446
C2589|446|220
C2590|220|446
C2591|446|220
C2592|220|446
C2593|446|220
C2594|220|446
C2596|220|446
C2611|446|792
C2612|792|446
C2613|446|792
C2614|792|446
C2615|446|792
C2616|792|446
C2801|898|2498
C2802|2498|898
C2803|898|2498
C2804|2498|898
C2805|898|1325
C2806|1325|898
C2807|898|1325
C2808|1325|898
C2809|898|2497
C2881|2497|1325
C2882|1325|2498
C2883|2498|1325
C2884|1325|2498
C2885|2498|1325
C2886|1325|2498
C2887|2498|1325
C2888|1325|2498
C2889|2498|1325
C2890|1325|2498
C2891|2498|1325
C2892|1325|2498
C2893|2498|1325
C2894|1325|2498
C2895|2498|1325
C2896|1325|2497
C2900|2497|1882
C2901|1882|898
C2903|898|1882
C2905|1882|2497
C2906|2497|1882
C2907|1882|2497
C2908|2497|1882
C2909|1882|898
C2911|898|1882
C2913|1882|2497
C2914|2497|1882
C2915|1882|2497
C2921|1882|1325
C2922|2497|1882
C2923|2498|1325
C2924|1325|2498
C2925|1882|2497
C2926|1325|1882
C2927|1882|1325
C2928|2497|1882
C2930|1325|2497
C2951|1882|2497
C2952|2497|1882
C2961|2497|1325
C2962|1325|2498
C2963|2498|1325
C2964|1325|2498
C2965|2498|1325
C2966|1325|2497
C2967|2497|1325
C2968|1325|898
C2969|898|1325
C2970|1325|2497
C2971|2497|1325
C2972|1325|898
C2973|898|1325
C2974|1325|2498
C2975|2498|1325
C2976|1325|2497
C5001|1625|629
C5002|629|1576
C5005|1576|629
C5006|629|1576
C5007|1576|629
C5008|629|1576
C5011|1576|629
C5012|629|1576
C5013|1576|629
C5014|629|1576
C5017|1576|629
C5018|629|1625
C5019|1576|629
